Season,TeamName,kenpom_adj_o,kenpom_adj_o_rank,kenpom_adj_d,kenpom_adj_d_rank,kenpom_rank,kenpom_luck,kenpom_adjem,TeamID
2011,Ohio St.,125.4,2,88.4,10,1,0.043,0.9824,1326.0
2011,Duke,118.8,6,87.2,6,2,0.006,0.972,1181.0
2011,Kansas,119.8,4,88.3,9,3,0.071,0.9711,1242.0
2011,Texas,114.0,23,85.3,1,4,-0.055,0.9657,1400.0
2011,Purdue,116.1,12,87.2,5,5,-0.004,0.9641,1345.0
2011,Pittsburgh,119.7,5,90.8,22,6,-0.003,0.96,1338.0
2011,Wisconsin,125.8,1,96.4,73,7,0.013999999999999999,0.9549,1458.0
2011,Notre Dame,122.8,3,95.0,58,8,0.094,0.9505,1323.0
2011,San Diego St.,112.6,34,87.1,3,9,0.067,0.9499,1361.0
2011,Kentucky,118.2,7,91.7,28,10,-0.073,0.949,1246.0
2011,Syracuse,115.8,15,89.9,16,11,0.064,0.9484,1393.0
2011,North Carolina,112.2,36,87.2,4,12,0.051,0.9477,1314.0
2011,Brigham Young,118.2,8,91.9,32,13,0.053,0.9472,1140.0
2011,Louisville,111.4,42,87.1,2,14,-0.015,0.944,1257.0
2011,Utah St.,110.9,45,88.0,8,15,0.037000000000000005,0.9346,1429.0
2011,Washington,118.0,9,94.3,49,16,-0.115,0.9294,1449.0
2011,Illinois,112.7,33,90.6,19,17,-0.07200000000000001,0.9253,1228.0
2011,Florida,115.6,16,92.9,40,18,0.04,0.925,1196.0
2011,Belmont,112.7,32,90.6,21,19,-0.006999999999999999,0.9248,1125.0
2011,Connecticut,114.7,20,92.5,36,20,0.018000000000000002,0.9221,1163.0
2011,West Virginia,112.9,30,91.8,30,21,-0.017,0.915,1452.0
2011,Nevada Las Vegas,109.5,60,89.2,13,22,0.026000000000000002,0.9137,1424.0
2011,Cincinnati,110.1,53,89.8,15,23,0.047,0.9128,1153.0
2011,Vanderbilt,115.2,17,95.1,60,24,-0.043,0.9007,1435.0
2011,George Mason,113.2,28,93.6,44,25,-0.015,0.899,1206.0
2011,Villanova,114.7,21,95.1,59,26,-0.027000000000000003,0.8964,1437.0
2011,Arizona,115.1,19,95.5,62,27,0.078,0.8953,1112.0
2011,Virginia Tech,110.0,56,91.3,26,28,-0.022000000000000002,0.8948,1439.0
2011,Gonzaga,110.4,50,91.6,27,29,-0.015,0.8947,1211.0
2011,Kansas St.,110.5,49,91.7,29,30,0.013999999999999999,0.8946,1243.0
2011,Clemson,106.5,90,88.7,12,31,-0.07400000000000001,0.8912,1155.0
2011,Georgetown,113.2,29,94.4,51,32,0.045,0.8899,1207.0
2011,Missouri,113.4,27,94.7,54,33,-0.012,0.8884,1281.0
2011,Marquette,115.1,18,96.2,70,34,-0.076,0.8881,1266.0
2011,Maryland,109.2,62,91.2,24,35,-0.08800000000000001,0.8877,1268.0
2011,Xavier,112.9,31,94.4,53,36,0.061,0.8867,1462.0
2011,St. John's,110.6,48,92.6,37,37,0.051,0.8849,1385.0
2011,Temple,110.0,55,92.8,38,38,0.031,0.8765,1396.0
2011,Southern California,107.8,79,91.3,25,39,-0.042,0.8713,1425.0
